target,target_column,model,fold,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
Expanded demand-pressure index,y_expanded_demand_pressure_index,Random forest (S2),4,0.21859388145940126,0.2594890420964406,22.70830423816817,-0.15739359464483083,0.14784308309504607,0.2247641266347994
Expanded demand-pressure index,y_expanded_demand_pressure_index,Random forest (S2),5,0.19700788123688381,0.2435930517229186,17.833710623712616,0.2826703021480983,0.010150094725783538,0.18974093982374535
Expanded demand-pressure index,y_expanded_demand_pressure_index,XGBoost (S2),1,0.1882253944895126,0.23531496342789993,16.869196293523604,0.30126502131727984,0.005422121356360093,0.16995652000184758
Expanded demand-pressure index,y_expanded_demand_pressure_index,XGBoost (S2),2,0.244968009218018,0.30730490993550175,21.206112267773538,0.05336494490646937,-0.024790896512966242,0.2055185625014057
Expanded demand-pressure index,y_expanded_demand_pressure_index,XGBoost (S2),3,0.2031284726900702,0.2721855004574703,18.497910991204243,0.06056319513681763,0.04436779610570379,0.14898917078971863
Expanded demand-pressure index,y_expanded_demand_pressure_index,XGBoost (S2),4,0.2496148148367132,0.29823984135251774,25.625485909960823,-0.5288833395864148,0.15128590013874652,0.24732377722665866
Expanded demand-pressure index,y_expanded_demand_pressure_index,XGBoost (S2),5,0.2030801283146607,0.24851300372419782,18.519090181987014,0.25340125436379746,0.03362288193468761,0.1781475959402143
Expanded demand-pressure index,y_expanded_demand_pressure_index,LightGBM (S2),1,0.21253264040747755,0.26461321913733665,19.834713234585667,0.11643914203097327,0.0117375560092789,0.196817639120482
Expanded demand-pressure index,y_expanded_demand_pressure_index,LightGBM (S2),2,0.24443401477617233,0.3064703177437755,20.91235407894711,0.05849978895144359,-0.02336594837728979,0.2304967715312607
Expanded demand-pressure index,y_expanded_demand_pressure_index,LightGBM (S2),3,0.20265373715435653,0.2701259890224377,18.104649087536114,0.07472604369936509,0.0027255117249629745,0.16003925382094453
Expanded demand-pressure index,y_expanded_demand_pressure_index,LightGBM (S2),4,0.23345379023897816,0.27888761199230155,23.96805556584831,-0.336907858257951,0.13573601427377063,0.20924054548358628
Expanded demand-pressure index,y_expanded_demand_pressure_index,LightGBM (S2),5,0.2047081321396169,0.25114253756579974,18.292135784725865,0.23751803655905301,0.005240947457031958,0.1785155878726683
Expanded demand-pressure index,y_expanded_demand_pressure_index,14-day moving average,1,0.24066555753967925,0.3003822107774348,22.77491857471485,-0.13857544783573528,0.03114239885031769,0.20362678309775495
Expanded demand-pressure index,y_expanded_demand_pressure_index,14-day moving average,2,0.2633223696936916,0.31989308220095675,24.523753251487438,-0.025777765830998556,0.01567193688715862,0.20785211992071817
