model,false_negative_to_false_positive_cost_ratio,forecast_alert_cutoff,calibration_days,cost_units,normalized_cost,true_positive_days,false_positive_days,false_negative_days,true_negative_days,precision,recall,f1
Random forest (S2),5.0,0.8,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.81,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),5.0,0.82,220,137.0,0.6227272727272727,81,137,0,2,0.37155963302752293,1.0,0.5418060200668897
Random forest (S2),5.0,0.83,220,136.0,0.6181818181818182,81,136,0,3,0.37327188940092165,1.0,0.5436241610738255
Random forest (S2),5.0,0.84,220,133.0,0.6045454545454545,81,133,0,6,0.37850467289719625,1.0,0.5491525423728814
Random forest (S2),5.0,0.85,220,133.0,0.6045454545454545,81,133,0,6,0.37850467289719625,1.0,0.5491525423728814
Random forest (S2),5.0,0.86,220,130.0,0.5909090909090909,81,130,0,9,0.38388625592417064,1.0,0.5547945205479452
Random forest (S2),5.0,0.87,220,130.0,0.5909090909090909,81,130,0,9,0.38388625592417064,1.0,0.5547945205479452
Random forest (S2),5.0,0.88,220,130.0,0.5909090909090909,81,130,0,9,0.38388625592417064,1.0,0.5547945205479452
Random forest (S2),5.0,0.89,220,129.0,0.5863636363636363,81,129,0,10,0.38571428571428573,1.0,0.5567010309278351
Random forest (S2),5.0,0.9,220,124.0,0.5636363636363636,81,124,0,15,0.3951219512195122,1.0,0.5664335664335665
Random forest (S2),5.0,0.91,220,124.0,0.5636363636363636,81,124,0,15,0.3951219512195122,1.0,0.5664335664335665
