model,precision,recall,threshold,average_precision
XGBoost (S2),0.2422907488986784,0.9821428571428571,1.049225926399231,0.3268092143748066
XGBoost (S2),0.23893805309734514,0.9642857142857143,1.0544227361679075,0.3268092143748066
XGBoost (S2),0.24,0.9642857142857143,1.059293270111084,0.3268092143748066
XGBoost (S2),0.23660714285714285,0.9464285714285714,1.0627332925796509,0.3268092143748066
XGBoost (S2),0.23766816143497757,0.9464285714285714,1.0631890296936035,0.3268092143748066
XGBoost (S2),0.23873873873873874,0.9464285714285714,1.0664316415786743,0.3268092143748066
XGBoost (S2),0.2398190045248869,0.9464285714285714,1.069849967956543,0.3268092143748066
XGBoost (S2),0.2409090909090909,0.9464285714285714,1.071394681930542,0.3268092143748066
XGBoost (S2),0.2420091324200913,0.9464285714285714,1.0725435018539429,0.3268092143748066
XGBoost (S2),0.23853211009174313,0.9285714285714286,1.072927951812744,0.3268092143748066
XGBoost (S2),0.23963133640552994,0.9285714285714286,1.074586272239685,0.3268092143748066
XGBoost (S2),0.24074074074074073,0.9285714285714286,1.0767416954040527,0.3268092143748066
XGBoost (S2),0.24186046511627907,0.9285714285714286,1.0778917074203491,0.3268092143748066
XGBoost (S2),0.24299065420560748,0.9285714285714286,1.0819247961044312,0.3268092143748066
XGBoost (S2),0.24413145539906103,0.9285714285714286,1.08840012550354,0.3268092143748066
XGBoost (S2),0.24528301886792453,0.9285714285714286,1.091352939605713,0.3268092143748066
XGBoost (S2),0.24644549763033174,0.9285714285714286,1.0915995836257937,0.3268092143748066
XGBoost (S2),0.24761904761904763,0.9285714285714286,1.0928082466125488,0.3268092143748066
